Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
44147,Funko! POP VINYL KKOS Spikey,Funko!,Stock,35.12,204,204,204.0,204.0,204,204.0,204,204.0,204,204,204,204,204.0
44197,Funko! POP VINYL La Casa de Papel Nairobi,Funko!,Købsordre,35.12,204,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,204.0
44197,Funko! POP VINYL La Casa de Papel Nairobi,Funko!,Stock,35.12,204,204,204.0,204.0,204,204.0,204,204.0,204,204,204,204,204.0
44208,Funko! POP VINYL Borderlands Lilith the Siren,Funko!,Invoiced DK,31.19473,12,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,12.0
44208,Funko! POP VINYL Borderlands Lilith the Siren,Funko!,Stock,31.19473,192,192,192.0,192.0,192,192.0,192,192.0,192,192,192,192,192.0
44209,Funko! POP VINYL Borderlands Claptrap,Funko!,Invoiced DK,28.54916,6,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,6.0
44209,Funko! POP VINYL Borderlands Claptrap,Funko!,Stock,28.54916,156,156,156.0,156.0,156,156.0,156,156.0,156,156,156,156,156.0
44222,Funko! POP VINYL Games: Overwatch -  Tracer (OW2),Funko!,Købsordre,27.32643,0,252,0.0,0.0,0,0.0,0,0.0,0,0,0,0,252.0
44222,Funko! POP VINYL Games: Overwatch -  Tracer (OW2),Funko!,SalgsOrdre DK,27.32643,0,108,0.0,0.0,0,0.0,0,0.0,0,0,0,0,108.0
44222,Funko! POP VINYL Games: Overwatch -  Tracer (OW2),Funko!,SalgsOrdre SE,27.32643,144,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,144.0
44222,Funko! POP VINYL Games: Overwatch -  Tracer (OW2),Funko!,Stock,27.32643,108,252,252.0,252.0,252,252.0,252,252.0,252,252,252,252,252.0
44223,Funko! POP VINYL Overwatch Genji (OW2),Funko!,SalgsOrdre SE,27.32648,108,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,108.0
44230,Funko POP Town HP: Hagrid's Hut w/ Fang,Funko!,Købsordre,91.77361,0,36,0.0,0.0,0,0.0,0,0.0,0,0,0,0,36.0
